,diff,Assay ID,SMILES
62,0.032873360133802265,CHEMBL1034536,"C(=O)(c1c(C(F)(F)F)cc(OCCCCCC)cc1)CC[NH+](C)C	
"
24,0.03315306372244686,CHEMBL1034536,"C(=O)(c1ccc(OCCCCCC)cc1)[C](C[NH+](C)C)[C](C)C	
"
551,0.033523202564587073,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cccc(C#N)c3)on2)cc1	
"
219,0.033657516402285204,CHEMBL3431937,"C[C]1CN(S(=O)(=O)c2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1ccc(C(=O)[O-])cc1)c2	
"
315,0.03381460249106105,CHEMBL3431937,"Cc1cc(C(=O)Nc2ccc(C(=O)[O-])c(F)c2)cc2c1CCN2S(=O)(=O)c1cc(Cl)ccc1OC	
"
582,0.0339132215860003,CHEMBL905613,"[N+](=O)([O-])c1cc(ccc1)N	
"
274,0.03394381695929383,CHEMBL3431937,"C[N@@H+]1CCN(C(=O)COc2ccccc2)[C](c2nc(c3ccc4c(CC(=O)N4)c3)no2)C1	
"
545,0.03478535308599895,CHEMBL3431937,"C[C]1CN(S(=O)(=O)c2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1ccc(C(=O)[O-])c(Cl)c1)c2	
"
300,0.034841484512251775,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2[nH]nc(c3cccc(N4CCC4=O)c3)n2)cc1	
"
258,0.03509442926844386,CHEMBL3431937,"C[N@@H+]1CCN(C(=O)COc2ccccc2)[C](c2[nH]nc(c3cccc(C(F)(F)F)c3)n2)C1	
"
532,0.03522476282633846,CHEMBL3431937,"CN(S(=O)(=O)c1cc(Cl)ccc1OC)c1cc(C(=O)Nc2ncc(CC(=O)[O-])s2)cc2c1OCO2	
"
486,0.035238284870970915,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2C(=O)N2Cc3cc(N4CCOCC4)c(F)cc3C2)cc1	
"
344,0.0355673263168752,CHEMBL3431937,"COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c1cc(C(=O)Nc1ccc(CC(=O)[O-])cc1)cc2	
"
701,0.03586192079728612,CHEMBL905613,"c1(=O)c(N(C)C)c(C)n(C)n1c1ccccc1	
"
373,0.03603354018968474,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cccc4c3c(=O)[nH][nH]4)on2)cc1	
"
343,0.03617868320705231,CHEMBL3431937,"CC1(C)c2ccc(C(=O)Nc3ccc(C(=O)[O-])cc3)cc2N(Cc2cc(Cl)ccc2OC)C1=O	
"
759,0.03709645016264851,Astellas,"c1(N(C)CCc2ccccc2)ccc2c(CN3[C](C(=O)NCCOCCO2)CCC3)c1	
"
175,0.037176129058043905,CHEMBL3430218,"[C]1(C[C](C)C)NC(=O)[C](NC(=O)[C](N(C)C(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](C[C](C)C)N(C)C1=O)C[C](C)C)Cc1ccc(O)cc1)C[C](C)C	
"
747,0.0372646037712876,Astellas,"[C]1(N2CC(=O)Nc3cc(Cl)ccc3Oc3ccccc3OCCOCC2)CCOCC1	
"
711,0.03752684018650143,CHEMBL905613,"c1(C(=O)OCC)c(C(=O)OCC)cccc1	
"
712,0.03779854204139976,CHEMBL905613,"CCN(C(=O)SCc1ccc(Cl)cc1)CC	
"
718,0.03889857337096103,CHEMBL905613,"NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	
"
663,0.03906201767955508,CHEMBL905613,"N1(CCC[NH2+]C)c2c(cccc2)CCc2c1cccc2	
"
361,0.03916182732132256,CHEMBL3431937,"CC1(C)c2ccc(C(=O)Nc3nccs3)cc2N(Cc2cc(Cl)ccc2OC)C(=O)O1	
"
